Item,Description,Quantity,Unit Price (USD),Total Price (USD),URL,Running Total (With Tax)
"STS3215 Servo 7.4V, 1/345 gear (C001)",Motor,6,$13.89,$83.34,https://www.alibaba.com/product-detail/Top-Seller-Low-Cost-Feetech-STS3215_1600999461525.html,$88.86
Serial Bus Servo Driver Board,Motor Control Board,1,$10.55,$10.55,https://www.amazon.com/Waveshare-Integrates-Control-Circuit-Supports/dp/B0CTMM4LWK/?th=1,$11.25
USB-C Cable 2 pcs,Cable,1,$7.99,$7.99,https://www.amazon.com/Charging-etguuds-Charger-Braided-Compatible/dp/B0C3HQP184/?th=1,$8.52
Facmogu 9W 9V/1A Power Supply Adapter,Power Supply,1,$10.00,$10.00,https://www.amazon.com/Facmogu-Switching-Transformer-Compatible-5-5x2-1mm/dp/B077XPLH92/?th=1,$10.66
Mr. Pen Bar Clamps (2 pcs),Table Clamps,1,$8.85,$8.85,https://www.amazon.com/Mr-Pen-Carpenter-Clamp-6inch/dp/B092L925J4/?th=1,$9.44
#1 x 3 in. Square Shaft Standard Phillips Screwdriver,Screwdriver,1,$5.97,$5.97,https://www.homedepot.com/p/Husky-1-x-3-in-Square-Shaft-Standard-Phillips-Screwdriver-H1X3PHSD/302348540,$6.37
#0 x 2-1/2 in. Phillips Head Screwdriver,Screwdriver,1,$6.97,$6.97,https://www.homedepot.com/p/Husky-0-x-2-1-2-in-Phillips-Head-Screwdriver-210303440/204663552,$7.43
3D Printed SO-100 Body,Casing (No funding needed; making with a 3D printer),1,$0.00,$0.00,N/A
,,,,,,
Tax applied:,,,,,,
6.625%,,,,,,
,,,,,,
Total Cost (with Tax),,,,,,
$142.53,,,,,,


